date,away_team,home_team,p_home_win,p_away_win,is_fallback
2024-10-22,NYK,BOS,0.4489,0.5511,False
2024-10-22,MIN,LAL,0.5862,0.4138,False
2024-10-23,CLE,TOR,0.5552,0.4448,False
2024-10-23,ORL,MIA,0.4668,0.5332,False
2024-10-23,CHI,NOP,0.3809,0.6191,False
2024-10-23,BKN,ATL,0.5634,0.4366,False
2024-10-23,MIL,PHI,0.539,0.461,False
2024-10-23,MEM,UTA,0.6253,0.3747,False
2024-10-23,GSW,POR,0.5191,0.4809,False
2024-10-23,PHX,LAC,0.5877,0.4123,False
2024-10-23,IND,DET,0.6088,0.3912,False
2024-10-23,CHA,HOU,0.6628,0.3372,False
2024-10-24,BOS,WAS,0.5,0.5,True
2024-10-24,SAS,DAL,0.7278,0.2722,False
2024-10-24,OKC,DEN,0.5194,0.4806,False
2024-10-24,MIN,SAC,0.5,0.5,True
2024-10-25,PHI,TOR,0.5,0.5,True
2024-10-25,BKN,ORL,0.5,0.5,True
2024-10-25,NOP,POR,0.5,0.5,True
2024-10-25,CHI,MIL,0.5,0.5,True
2024-10-25,GSW,UTA,0.5,0.5,True
2024-10-25,CHA,ATL,0.5,0.5,True
2024-10-25,MEM,HOU,0.5,0.5,True
2024-10-25,PHX,LAL,0.5,0.5,True
2024-10-25,DET,CLE,0.5,0.5,True
2024-10-25,IND,NYK,0.5,0.5,True
2024-10-26,OKC,CHI,0.5,0.5,True
2024-10-26,SAC,LAL,0.5,0.5,True
2024-10-26,DAL,PHX,0.5,0.5,True
2024-10-26,ORL,MEM,0.4854,0.5146,False
2024-10-26,BOS,DET,0.4227,0.5773,False
2024-10-26,LAC,DEN,0.5,0.5,True
2024-10-26,HOU,SAS,0.5,0.5,True
2024-10-26,CLE,WAS,0.5,0.5,True
2024-10-26,TOR,MIN,0.6782,0.3218,False
2024-10-26,MIA,CHA,0.5,0.5,True
2024-10-27,PHI,IND,0.67,0.33,False
2024-10-27,LAC,GSW,0.7462,0.2538,False
2024-10-27,MIL,BKN,0.4739,0.5261,False
2024-10-27,NOP,POR,0.3331,0.6669,False
2024-10-27,ATL,OKC,0.6221,0.3779,False
2024-10-28,WAS,ATL,0.6853,0.3147,False
2024-10-28,UTA,DAL,0.6326,0.3674,False
2024-10-28,DET,MIA,0.5177,0.4823,False
2024-10-28,MIL,BOS,0.6673,0.3327,False
2024-10-28,CLE,NYK,0.3474,0.6526,False
2024-10-28,IND,ORL,0.6927,0.3073,False
2024-10-28,POR,SAC,0.6488,0.3512,False
2024-10-28,HOU,SAS,0.4802,0.5198,False
2024-10-28,CHI,MEM,0.5335,0.4665,False
2024-10-28,DEN,TOR,0.5929,0.4071,False
2024-10-28,LAL,PHX,0.5275,0.4725,False
2024-10-29,NOP,GSW,0.7161,0.2839,False
2024-10-29,DAL,MIN,0.5545,0.4455,False
2024-10-29,DEN,BKN,0.5801,0.4199,False
2024-10-29,SAC,UTA,0.4858,0.5142,False
2024-10-30,ORL,CHI,0.5541,0.4459,False
2024-10-30,SAS,OKC,0.6656,0.3344,False
2024-10-30,DET,PHI,0.5628,0.4372,False
2024-10-30,BKN,MEM,0.5582,0.4418,False
2024-10-30,POR,LAC,0.5303,0.4697,False
2024-10-30,NOP,GSW,0.6972,0.3028,False
2024-10-30,LAL,CLE,0.6157,0.3843,False
2024-10-30,BOS,IND,0.4304,0.5696,False
2024-10-30,NYK,MIA,0.5337,0.4663,False
2024-10-30,ATL,WAS,0.5129,0.4871,False
2024-10-30,TOR,CHA,0.5723,0.4277,False
2024-10-31,SAS,UTA,0.4487,0.5513,False
2024-10-31,MIL,MEM,0.6461,0.3539,False
2024-10-31,PHX,LAC,0.5863,0.4137,False
2024-10-31,HOU,DAL,0.5127,0.4873,False
2024-11-01,LAL,TOR,0.525,0.475,False
2024-11-01,BOS,CHA,0.4957,0.5043,False
2024-11-01,NYK,DET,0.49,0.51,False
2024-11-01,DEN,MIN,0.6167,0.3833,False
2024-11-01,IND,NOP,0.4887,0.5113,False
2024-11-01,ORL,CLE,0.6575,0.3425,False
2024-11-01,SAC,ATL,0.4733,0.5267,False
2024-11-01,OKC,POR,0.4911,0.5089,False
2024-11-01,CHI,BKN,0.6273,0.3727,False
2024-11-02,BOS,CHA,0.5398,0.4602,False
2024-11-02,CLE,MIL,0.4364,0.5636,False
2024-11-02,GSW,HOU,0.5531,0.4469,False
2024-11-02,OKC,LAC,0.4924,0.5076,False
2024-11-02,UTA,DEN,0.6448,0.3552,False
2024-11-02,POR,PHX,0.6395,0.3605,False
2024-11-02,MEM,PHI,0.594,0.406,False
2024-11-02,SAC,TOR,0.476,0.524,False
2024-11-02,MIN,SAS,0.5175,0.4825,False
2024-11-03,ORL,DAL,0.5947,0.4053,False
2024-11-03,ATL,NOP,0.5297,0.4703,False
2024-11-03,DET,BKN,0.5942,0.4058,False
2024-11-04,MEM,BKN,0.5973,0.4027,False
2024-11-04,SAC,MIA,0.5529,0.4471,False
2024-11-04,CHA,MIN,0.5804,0.4196,False
2024-11-04,IND,DAL,0.5798,0.4202,False
2024-11-04,LAL,DET,0.5904,0.4096,False
2024-11-04,PHI,PHX,0.6011,0.3989,False
2024-11-04,SAS,LAC,0.5346,0.4654,False
2024-11-04,NYK,HOU,0.5907,0.4093,False
2024-11-04,TOR,DEN,0.6066,0.3934,False
2024-11-04,MIL,CLE,0.7294,0.2706,False
2024-11-04,BOS,ATL,0.4841,0.5159,False
2024-11-04,ORL,OKC,0.6826,0.3174,False
2024-11-04,POR,NOP,0.6012,0.3988,False
2024-11-04,UTA,CHI,0.6729,0.3271,False
2024-11-04,GSW,WAS,0.4403,0.5597,False
2024-11-06,TOR,SAC,0.5877,0.4123,False
2024-11-06,NYK,ATL,0.49,0.51,False
2024-11-06,PHI,LAC,0.6006,0.3994,False
2024-11-06,LAL,MEM,0.7057,0.2943,False
2024-11-06,ORL,IND,0.6428,0.3572,False
2024-11-06,OKC,DEN,0.5292,0.4708,False
2024-11-06,SAS,HOU,0.498,0.502,False
2024-11-06,CLE,NOP,0.521,0.479,False
2024-11-06,GSW,BOS,0.5898,0.4102,False
2024-11-06,DET,CHA,0.5477,0.4523,False
2024-11-06,CHI,DAL,0.6283,0.3717,False
2024-11-06,MIA,PHX,0.6103,0.3897,False
2024-11-07,UTA,MIL,0.6227,0.3773,False
2024-11-07,MIN,CHI,0.5386,0.4614,False
2024-11-07,POR,SAS,0.6369,0.3631,False
2024-11-08,BKN,BOS,0.6738,0.3262,False
2024-11-08,WAS,MEM,0.5747,0.4253,False
2024-11-08,MIL,NYK,0.6253,0.3747,False
2024-11-08,GSW,CLE,0.5274,0.4726,False
2024-11-08,IND,CHA,0.4946,0.5054,False
2024-11-08,POR,MIN,0.5711,0.4289,False
2024-11-08,ATL,DET,0.661,0.339,False
2024-11-08,LAC,SAC,0.5848,0.4152,False
2024-11-08,NOP,ORL,0.5512,0.4488,False
2024-11-08,PHX,DAL,0.5865,0.4135,False
2024-11-08,HOU,OKC,0.6211,0.3789,False
2024-11-08,MIA,DEN,0.6615,0.3385,False
2024-11-08,PHI,LAL,0.6088,0.3912,False
2024-11-09,CHI,ATL,0.5691,0.4309,False
2024-11-09,BKN,CLE,0.6265,0.3735,False
2024-11-09,TOR,LAC,0.6161,0.3839,False
2024-11-09,UTA,SAS,0.5256,0.4744,False
2024-11-10,MEM,POR,0.5505,0.4495,False
2024-11-10,HOU,DET,0.5035,0.4965,False
2024-11-10,SAC,PHX,0.5451,0.4549,False
2024-11-10,TOR,LAL,0.5341,0.4659,False
2024-11-10,CHA,PHI,0.591,0.409,False
2024-11-10,WAS,ORL,0.5013,0.4987,False
2024-11-10,MIA,MIN,0.6633,0.3367,False
2024-11-10,BOS,MIL,0.5635,0.4365,False
2024-11-10,DAL,DEN,0.5417,0.4583,False
2024-11-10,NYK,IND,0.6542,0.3458,False
2024-11-10,GSW,OKC,0.5482,0.4518,False
2024-11-11,WAS,HOU,0.6766,0.3234,False
2024-11-11,CLE,CHI,0.4032,0.5968,False
2024-11-11,SAC,SAS,0.5149,0.4851,False
2024-11-11,LAC,OKC,0.5619,0.4381,False
2024-11-11,BKN,NOP,0.5027,0.4973,False
2024-11-12,DAL,GSW,0.4879,0.5121,False
2024-11-12,TOR,MIL,0.615,0.385,False
2024-11-12,CHA,ORL,0.5672,0.4328,False
2024-11-12,NYK,PHI,0.466,0.534,False
2024-11-12,PHX,UTA,0.5315,0.4685,False
2024-11-12,MIA,DET,0.6088,0.3912,False
2024-11-12,ATL,BOS,0.557,0.443,False
2024-11-12,MIN,POR,0.3683,0.6317,False
2024-11-13,CHI,NYK,0.6005,0.3995,False
2024-11-13,NOP,OKC,0.6681,0.3319,False
2024-11-13,PHX,SAC,0.5855,0.4145,False
2024-11-13,MIN,POR,0.3335,0.6665,False
2024-11-13,IND,ORL,0.717,0.283,False
2024-11-13,CLE,PHI,0.4823,0.5177,False
2024-11-13,MEM,LAL,0.4489,0.5511,False
2024-11-13,LAC,HOU,0.5037,0.4963,False
2024-11-13,BOS,BKN,0.524,0.476,False
2024-11-13,DET,MIL,0.4934,0.5066,False
2024-11-13,WAS,SAS,0.7143,0.2857,False
2024-11-14,DAL,UTA,0.5231,0.4769,False
2024-11-15,WAS,ATL,0.641,0.359,False
2024-11-15,MIA,IND,0.5582,0.4418,False
2024-11-15,DET,TOR,0.5186,0.4814,False
2024-11-15,MIN,SAC,0.5913,0.4087,False
2024-11-15,PHI,ORL,0.7144,0.2856,False
2024-11-15,MEM,GSW,0.3776,0.6224,False
2024-11-15,BKN,NYK,0.5871,0.4129,False
2024-11-15,LAC,HOU,0.6267,0.3733,False
2024-11-15,DEN,NOP,0.4566,0.5434,False
2024-11-15,CHI,CLE,0.5766,0.4234,False
2024-11-15,PHX,OKC,0.5561,0.4439,False
2024-11-15,LAL,SAS,0.5435,0.4565,False
2024-11-16,MIL,CHA,0.5877,0.4123,False
2024-11-16,UTA,SAC,0.5918,0.4082,False
2024-11-16,SAS,DAL,0.4922,0.5078,False
2024-11-16,TOR,BOS,0.6578,0.3422,False
2024-11-16,LAL,NOP,0.4606,0.5394,False
2024-11-17,CHA,CLE,0.6683,0.3317,False
2024-11-17,UTA,LAC,0.5567,0.4433,False
2024-11-17,DAL,OKC,0.6475,0.3525,False
2024-11-17,DET,WAS,0.5117,0.4883,False
2024-11-17,PHX,MIN,0.5541,0.4459,False
2024-11-17,BKN,NYK,0.652,0.348,False
2024-11-17,MIA,IND,0.607,0.393,False
2024-11-17,DEN,MEM,0.6261,0.3739,False
2024-11-17,HOU,CHI,0.5,0.5,False
2024-11-17,ATL,POR,0.5159,0.4841,False
2024-11-18,CHI,DET,0.6122,0.3878,False
2024-11-18,IND,TOR,0.5717,0.4283,False
2024-11-18,HOU,MIL,0.5437,0.4563,False
2024-11-18,PHI,MIA,0.6481,0.3519,False
2024-11-18,ATL,SAC,0.5847,0.4153,False
2024-11-18,WAS,NYK,0.6203,0.3797,False
2024-11-18,GSW,LAC,0.4576,0.5424,False
2024-11-18,ORL,PHX,0.4024,0.5976,False
2024-11-19,CHA,BKN,0.5685,0.4315,False
2024-11-19,UTA,LAL,0.6033,0.3967,False
2024-11-19,OKC,SAS,0.5001,0.4999,False
2024-11-19,NOP,DAL,0.6377,0.3623,False
2024-11-19,DEN,MEM,0.5531,0.4469,False
2024-11-19,CLE,BOS,0.5685,0.4315,False
2024-11-20,POR,OKC,0.5384,0.4616,False
2024-11-20,IND,HOU,0.7089,0.2911,False
2024-11-20,NYK,PHX,0.4789,0.5211,False
2024-11-20,NOP,CLE,0.6492,0.3508,False
2024-11-20,ATL,GSW,0.566,0.434,False
2024-11-20,ORL,LAC,0.5062,0.4938,False
2024-11-20,CHI,MIL,0.7082,0.2918,False
2024-11-20,PHI,MEM,0.6439,0.3561,False
2024-11-21,UTA,SAS,0.5543,0.4457,False
2024-11-21,DET,CHA,0.4813,0.5187,False
2024-11-21,ORL,LAL,0.5484,0.4516,False
2024-11-21,MIN,TOR,0.5621,0.4379,False
2024-11-22,GSW,NOP,0.4408,0.5592,False
2024-11-22,DAL,DEN,0.47,0.53,False
2024-11-22,POR,HOU,0.6367,0.3633,False
2024-11-22,IND,MIL,0.5799,0.4201,False
2024-11-22,BOS,WAS,0.4193,0.5807,False
2024-11-22,ATL,CHI,0.5126,0.4874,False
2024-11-22,SAC,LAC,0.604,0.396,False
2024-11-22,BKN,PHI,0.5199,0.4801,False
2024-11-23,POR,HOU,0.6154,0.3846,False
2024-11-23,GSW,SAS,0.4923,0.5077,False
2024-11-23,MEM,CHI,0.554,0.446,False
2024-11-23,DET,ORL,0.5433,0.4567,False
2024-11-23,CHA,MIL,0.6417,0.3583,False
2024-11-23,DEN,LAL,0.6055,0.3945,False
2024-11-23,NYK,UTA,0.4316,0.5684,False
2024-11-24,WAS,IND,0.6218,0.3782,False
2024-11-24,LAC,PHI,0.4715,0.5285,False
2024-11-24,BKN,SAC,0.6049,0.3951,False
2024-11-24,DAL,MIA,0.4718,0.5282,False
2024-11-24,MIN,BOS,0.5664,0.4336,False
2024-11-24,TOR,CLE,0.5788,0.4212,False
2024-11-25,DAL,ATL,0.4053,0.5947,False
2024-11-25,LAC,BOS,0.5446,0.4554,False
2024-11-25,NYK,DEN,0.4822,0.5178,False
2024-11-25,OKC,SAC,0.5468,0.4532,False
2024-11-25,TOR,DET,0.4928,0.5072,False
2024-11-25,ORL,CHA,0.6019,0.3981,False
2024-11-25,BKN,GSW,0.6652,0.3348,False
2024-11-25,NOP,IND,0.667,0.333,False
2024-11-25,POR,MEM,0.6472,0.3528,False
2024-11-26,MIL,MIA,0.5248,0.4752,False
2024-11-26,SAS,UTA,0.5038,0.4962,False
2024-11-26,CHI,WAS,0.4826,0.5174,False
2024-11-26,HOU,MIN,0.4494,0.5506,False
2024-11-26,LAL,PHX,0.5273,0.4727,False
2024-11-27,LAL,SAS,0.6782,0.3218,False
2024-11-27,DET,MEM,0.6331,0.3669,False
2024-11-27,BKN,PHX,0.5242,0.4758,False
2024-11-27,HOU,PHI,0.5382,0.4618,False
2024-11-27,OKC,GSW,0.548,0.452,False
2024-11-27,TOR,NOP,0.5137,0.4863,False
2024-11-27,DEN,UTA,0.5328,0.4672,False
2024-11-27,LAC,WAS,0.4065,0.5935,False
2024-11-27,POR,IND,0.6287,0.3713,False
2024-11-27,CHI,ORL,0.5951,0.4049,False
2024-11-27,SAC,MIN,0.6082,0.3918,False
2024-11-27,ATL,CLE,0.7186,0.2814,False
2024-11-27,MIA,CHA,0.5116,0.4884,False
2024-11-27,NYK,DAL,0.5574,0.4426,False
2024-11-29,DET,IND,0.6302,0.3698,False
2024-11-29,SAC,POR,0.5886,0.4114,False
2024-11-29,TOR,MIA,0.6158,0.3842,False
2024-11-29,NOP,MEM,0.6821,0.3179,False
2024-11-29,NYK,CHA,0.511,0.489,False
2024-11-29,BOS,CHI,0.5618,0.4382,False
2024-11-29,LAC,MIN,0.5603,0.4397,False
2024-11-29,CLE,ATL,0.4056,0.5944,False
2024-11-29,ORL,BKN,0.5391,0.4609,False
2024-11-29,OKC,LAL,0.3676,0.6324,False
2024-11-30,DAL,UTA,0.5623,0.4377,False
2024-11-30,PHI,DET,0.5482,0.4518,False
2024-11-30,ATL,CHA,0.5272,0.4728,False
2024-11-30,GSW,PHX,0.6505,0.3495,False
2024-11-30,WAS,MIL,0.6888,0.3112,False
2024-12-01,LAL,UTA,0.5156,0.4844,False
2024-12-01,BOS,CLE,0.4916,0.5084,False
2024-12-01,IND,MEM,0.6511,0.3489,False
2024-12-01,MIA,TOR,0.6222,0.3778,False
2024-12-01,SAS,SAC,0.4949,0.5051,False
2024-12-01,NOP,NYK,0.6731,0.3269,False
2024-12-01,OKC,HOU,0.4973,0.5027,False
2024-12-01,ORL,BKN,0.5643,0.4357,False
2024-12-01,DEN,LAC,0.5578,0.4422,False
2024-12-01,DAL,POR,0.4222,0.5778,False
2024-12-02,LAL,MIN,0.4993,0.5007,False
2024-12-02,MIA,BOS,0.6369,0.3631,False
2024-12-02,BKN,CHI,0.6096,0.3904,False
2024-12-02,NOP,ATL,0.7252,0.2748,False
2024-12-03,WAS,CLE,0.6153,0.3847,False
2024-12-03,ORL,NYK,0.4423,0.5577,False
2024-12-03,MEM,DAL,0.5634,0.4366,False
2024-12-03,GSW,DEN,0.5787,0.4213,False
2024-12-03,POR,LAC,0.6265,0.3735,False
2024-12-03,SAS,PHX,0.6189,0.3811,False
2024-12-03,HOU,SAC,0.5435,0.4565,False
2024-12-03,UTA,OKC,0.6706,0.3294,False
2024-12-03,MIL,DET,0.5524,0.4476,False
2024-12-03,PHI,CHA,0.6383,0.3617,False
2024-12-03,IND,TOR,0.647,0.353,False
2024-12-04,ATL,MIL,0.5497,0.4503,False
2024-12-04,ORL,PHI,0.5111,0.4889,False
2024-12-04,IND,BKN,0.5952,0.4048,False
2024-12-04,DET,BOS,0.5617,0.4383,False
2024-12-04,LAL,MIA,0.6081,0.3919,False
2024-12-04,MIN,LAC,0.5898,0.4102,False
2024-12-05,DAL,WAS,0.4414,0.5586,False
2024-12-05,HOU,GSW,0.5115,0.4885,False
2024-12-05,CHA,NYK,0.6611,0.3389,False
2024-12-05,DEN,CLE,0.5018,0.4982,False
2024-12-05,PHX,NOP,0.4644,0.5356,False
2024-12-05,SAC,MEM,0.6597,0.3403,False
2024-12-05,CHI,SAS,0.5837,0.4163,False
2024-12-05,OKC,TOR,0.545,0.455,False
2024-12-06,IND,CHI,0.6733,0.3267,False
2024-12-06,SAC,SAS,0.5346,0.4654,False
2024-12-06,MIN,GSW,0.4643,0.5357,False
2024-12-06,MIL,BOS,0.5319,0.4681,False
2024-12-06,LAL,ATL,0.6667,0.3333,False
2024-12-06,ORL,PHI,0.6413,0.3587,False
2024-12-06,UTA,POR,0.6067,0.3933,False
2024-12-07,PHX,MIA,0.4695,0.5305,False
2024-12-07,DET,NYK,0.7577,0.2423,False
2024-12-07,OKC,NOP,0.3921,0.6079,False
2024-12-07,CLE,CHA,0.4561,0.5439,False
2024-12-07,DEN,WAS,0.469,0.531,False
2024-12-07,MEM,BOS,0.6057,0.3943,False
2024-12-07,DAL,TOR,0.5725,0.4275,False
2024-12-08,PHI,CHI,0.6599,0.3401,False
2024-12-08,MIN,GSW,0.4371,0.5629,False
2024-12-08,HOU,LAC,0.6483,0.3517,False
2024-12-08,POR,LAL,0.4515,0.5485,False
2024-12-08,CLE,MIA,0.5146,0.4854,False
2024-12-08,DEN,ATL,0.6559,0.3441,False
2024-12-08,PHX,ORL,0.5283,0.4717,False
2024-12-08,CHA,IND,0.6013,0.3987,False
2024-12-08,UTA,SAC,0.6518,0.3482,False
2024-12-08,MIL,BKN,0.4604,0.5396,False
2024-12-08,NOP,SAS,0.5225,0.4775,False
2024-12-08,MEM,WAS,0.3953,0.6047,False
2024-12-09,NYK,TOR,0.4095,0.5905,False
2024-12-10,ORL,MIL,0.5264,0.4736,False
2024-12-10,DAL,OKC,0.6291,0.3709,False
2024-12-11,GSW,HOU,0.5658,0.4342,False
2024-12-11,ATL,NYK,0.5703,0.4297,False
2024-12-12,TOR,MIA,0.7802,0.2198,False
2024-12-12,DET,BOS,0.6875,0.3125,False
2024-12-12,SAC,NOP,0.5026,0.4974,False
2024-12-13,WAS,CLE,0.6978,0.3022,False
2024-12-13,CHA,CHI,0.6771,0.3229,False
2024-12-13,LAL,MIN,0.7673,0.2327,False
2024-12-13,IND,PHI,0.59,0.41,False
2024-12-13,PHX,UTA,0.6307,0.3693,False
2024-12-13,LAC,DEN,0.5261,0.4739,False
2024-12-13,SAS,POR,0.5113,0.4887,False
2024-12-13,BKN,MEM,0.6318,0.3682,False
2024-12-15,NYK,ORL,0.5666,0.4334,False
2024-12-15,NOP,IND,0.6254,0.3746,False
2024-12-15,DAL,GSW,0.4328,0.5672,False
2024-12-15,BOS,WAS,0.5255,0.4745,False
2024-12-15,MEM,LAL,0.5106,0.4894,False
2024-12-15,MIN,SAS,0.4965,0.5035,False
2024-12-15,POR,PHX,0.6542,0.3458,False
2024-12-16,CHI,TOR,0.579,0.421,False
2024-12-16,MIA,DET,0.5222,0.4778,False
2024-12-16,PHI,CHA,0.5055,0.4945,False
2024-12-16,DEN,SAC,0.6926,0.3074,False
2024-12-16,CLE,BKN,0.5631,0.4369,False
2024-12-16,UTA,LAC,0.4662,0.5338,False
2024-12-19,UTA,DET,0.6642,0.3358,False
2024-12-19,OKC,ORL,0.4516,0.5484,False
2024-12-19,CHA,WAS,0.5008,0.4992,False
2024-12-19,IND,PHX,0.5493,0.4507,False
2024-12-19,NYK,MIN,0.584,0.416,False
2024-12-19,NOP,HOU,0.5919,0.4081,False
2024-12-19,GSW,MEM,0.6558,0.3442,False
2024-12-19,ATL,SAS,0.6512,0.3488,False
2024-12-19,LAL,SAC,0.683,0.317,False
2024-12-19,LAC,DAL,0.6362,0.3638,False
2024-12-19,CHI,BOS,0.6035,0.3965,False
2024-12-19,BKN,TOR,0.5873,0.4127,False
2024-12-19,DEN,POR,0.4014,0.5986,False
2024-12-20,MIL,CLE,0.579,0.421,False
2024-12-20,OKC,MIA,0.5592,0.4408,False
2024-12-20,CHA,PHI,0.6229,0.3771,False
2024-12-21,DET,PHX,0.67,0.33,False
2024-12-21,LAL,SAC,0.5848,0.4152,False
2024-12-21,GSW,MIN,0.6628,0.3372,False
2024-12-21,WAS,MIL,0.6521,0.3479,False
2024-12-21,POR,SAS,0.5661,0.4339,False
2024-12-21,UTA,BKN,0.5709,0.4291,False
2024-12-21,MIA,ORL,0.5194,0.4806,False
